INFO:root:2016-08-20 01:21:46.830795  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:21:46.830908 -> waiting for next log update
INFO:root:2016-08-20 01:22:47.010165  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:22:47.010399  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:22:47.105621  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:22:47.105798  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:22:47.105914 -> waiting for next log update
INFO:root:2016-08-20 01:23:47.297433  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:23:47.297669  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:23:47.400990  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:23:47.401168  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:23:47.401237 -> waiting for next log update
INFO:root:2016-08-20 01:24:47.572474  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:24:47.572680  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:24:47.673275  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:24:47.673489  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:24:47.673613 -> waiting for next log update
INFO:root:2016-08-20 01:25:47.824279  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:25:47.824515  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:25:47.939718  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:25:47.939901  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:25:47.939967 -> waiting for next log update
INFO:root:2016-08-20 01:26:48.119604  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:26:48.119912  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:26:48.222293  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:26:48.222474  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:26:48.222539 -> waiting for next log update
INFO:root:2016-08-20 01:27:48.390004  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:27:48.390247  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:27:48.509190  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:27:48.509386  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:27:48.509451 -> waiting for next log update
INFO:root:2016-08-20 01:28:48.702285  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:28:48.702643  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:28:48.813221  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:28:48.813619  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:28:48.813776 -> waiting for next log update
INFO:root:2016-08-20 01:29:49.001612  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:29:49.001856  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:29:49.112650  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:29:49.112864  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:29:49.112939 -> waiting for next log update
INFO:root:2016-08-20 01:30:49.299893  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:30:49.300231  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:30:49.398006  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:30:49.398170  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:30:49.398236 -> waiting for next log update
INFO:root:2016-08-20 01:31:49.578297  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:31:49.578509  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:31:49.711209  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:31:49.711410  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:31:49.711550 -> waiting for next log update
INFO:root:2016-08-20 01:32:49.899548  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:32:49.899951  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:32:49.999101  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:32:49.999263  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:32:49.999345 -> waiting for next log update
INFO:root:2016-08-20 01:33:50.186336  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:33:50.186757  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:33:50.322383  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:33:50.322641  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:33:50.322754 -> waiting for next log update
INFO:root:2016-08-20 01:34:50.505154  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:34:50.505336  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:34:50.600011  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:34:50.600315  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:34:50.600458 -> waiting for next log update
INFO:root:2016-08-20 01:35:50.786976  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:35:50.787372  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:35:50.888797  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:35:50.888953  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:35:50.889020 -> waiting for next log update
INFO:root:2016-08-20 01:36:51.079288  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:36:51.079698  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:36:51.217759  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:36:51.217996  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:36:51.218097 -> waiting for next log update
INFO:root:2016-08-20 01:37:51.385730  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:37:51.386034  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:37:51.494820  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:37:51.495202  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:37:51.495353 -> waiting for next log update
INFO:root:2016-08-20 01:38:51.683109  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:38:51.743929  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:38:51.875147  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:38:51.882315  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:38:51.882551 -> waiting for next log update
INFO:root:2016-08-20 01:39:52.064129  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:39:52.105326  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:39:52.247133  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:39:52.258316  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:39:52.258447 -> waiting for next log update
INFO:root:2016-08-20 01:40:52.409004  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:40:52.411311  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:40:52.504615  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:40:52.508948  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:40:52.509068 -> waiting for next log update
INFO:root:2016-08-20 01:41:52.770602  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:41:52.814934  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:41:53.112413  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:41:53.129786  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:41:53.129892 -> waiting for next log update
INFO:root:2016-08-20 01:42:53.318528  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:42:53.318930  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:42:53.418558  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:42:53.418721  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:42:53.418787 -> waiting for next log update
INFO:root:2016-08-20 01:43:53.604260  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:43:53.604545  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:43:53.702205  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:43:53.702360  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:43:53.702442 -> waiting for next log update
INFO:root:2016-08-20 01:44:53.888856  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:44:53.889258  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:44:54.023552  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:44:54.023718  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:44:54.023826 -> waiting for next log update
INFO:root:2016-08-20 01:45:54.209333  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:45:54.209675  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:45:54.336880  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:45:54.337210  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:45:54.337358 -> waiting for next log update
INFO:root:2016-08-20 01:46:54.520521  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:46:54.520858  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:46:54.620432  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:46:54.620588  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:46:54.620655 -> waiting for next log update
INFO:root:2016-08-20 01:47:54.796862  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:47:54.797200  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:47:54.904599  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:47:54.904760  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:47:54.904843 -> waiting for next log update
INFO:root:2016-08-20 01:48:55.065227  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:48:55.065440  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:48:55.200287  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:48:55.200458  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:48:55.200655 -> waiting for next log update
INFO:root:2016-08-20 01:49:55.386205  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:49:55.386507  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:49:55.483626  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-20 01:49:55.483788  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-20 01:49:55.483884 -> waiting for next log update
INFO:root:2016-08-20 01:50:55.668448  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-20 01:50:55.668847  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-20 01:50:55.766394  -> Fetch data Starts for 10.3.10.191....
