INFO:root:2016-08-18 14:49:21.055380 -> Fetch log script started
INFO:root:2016-08-18 14:49:21.215549  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 14:49:21.311828  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 14:49:21.311989 -> waiting for next log update
INFO:root:2016-08-18 14:50:20.068534 -> Fetch log script started
INFO:root:2016-08-18 14:50:20.188130  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 14:50:20.190709  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 14:50:20.190809 -> waiting for next log update
INFO:root:2016-08-18 16:15:05.550768 -> Fetch log script started
INFO:root:2016-08-18 16:15:05.672111  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-18 16:15:05.690313  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-18 16:15:05.991785  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 16:15:06.052320  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 16:15:06.052432 -> waiting for next log update
INFO:root:2016-08-18 17:20:05.378988 -> Fetch log script started
INFO:root:2016-08-18 17:20:05.510539  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-18 17:20:05.626276  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-18 17:20:05.746093  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 17:20:05.866700  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 17:20:05.866867 -> waiting for next log update
INFO:root:2016-08-18 17:21:06.026683  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-18 17:21:06.026883  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-18 17:21:06.142015  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 17:21:06.142199  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 17:21:06.142266 -> waiting for next log update
INFO:root:2016-08-18 17:22:06.319519  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-18 17:22:06.456012  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-18 17:22:06.600157  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 17:22:06.716770  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 17:22:06.716891 -> waiting for next log update
INFO:root:2016-08-18 17:23:06.854300  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-18 17:23:06.856208  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-18 17:23:06.978829  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 17:23:06.980605  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 17:23:06.980708 -> waiting for next log update
INFO:root:2016-08-18 17:24:07.158819  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-18 17:24:07.183169  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-18 17:24:07.318148  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 17:24:07.320898  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 17:24:07.320999 -> waiting for next log update
INFO:root:2016-08-18 17:25:07.543125  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-18 17:25:07.552922  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-18 17:25:07.679200  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 17:25:07.685647  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 17:25:07.685748 -> waiting for next log update
INFO:root:2016-08-18 17:26:07.852827  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-18 17:26:07.853011  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-18 17:26:08.006406  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 17:26:08.006588  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 17:26:08.006656 -> waiting for next log update
INFO:root:2016-08-18 17:27:08.208908  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-18 17:27:08.209089  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-18 17:27:08.362838  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 17:27:08.363016  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 17:27:08.363086 -> waiting for next log update
INFO:root:2016-08-18 17:28:08.511261  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-18 17:28:08.511476  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-18 17:28:08.638591  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 17:28:08.638768  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 17:28:08.638837 -> waiting for next log update
INFO:root:2016-08-18 17:29:08.786800  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-18 17:29:08.787096  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-18 17:29:08.887602  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 17:29:08.887842  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 17:29:08.887969 -> waiting for next log update
INFO:root:2016-08-18 17:30:09.242768  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-18 17:30:09.304416  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-18 17:30:09.411341  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 17:30:09.444247  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 17:30:09.444371 -> waiting for next log update
INFO:root:2016-08-18 17:31:09.560181  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-18 17:31:09.569795  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-18 17:31:09.690853  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 17:31:09.695483  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 17:31:09.695587 -> waiting for next log update
INFO:root:2016-08-18 17:32:09.831378  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-18 17:32:09.831561  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-18 17:32:09.938124  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 17:32:09.938306  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 17:32:09.938375 -> waiting for next log update
INFO:root:2016-08-18 17:33:10.129540  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-18 17:33:10.129759  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-18 17:33:10.259026  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 17:33:10.259230  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 17:33:10.259309 -> waiting for next log update
INFO:root:2016-08-18 17:34:10.443335  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-18 17:34:10.443528  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-18 17:34:10.542654  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 17:34:10.542907  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 17:34:10.543017 -> waiting for next log update
INFO:root:2016-08-18 17:35:10.668491  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-18 17:35:10.668717  -> Fetching Data ended for 10.3.10.190
INFO:root:2016-08-18 17:35:10.776175  -> Fetch data Starts for 10.3.10.191....
INFO:root:2016-08-18 17:35:10.776382  -> Fetching Data ended for 10.3.10.191
INFO:root:2016-08-18 17:35:10.776451 -> waiting for next log update
INFO:root:2016-08-18 17:36:10.930325  -> Fetch data Starts for 10.3.10.190....
INFO:root:2016-08-18 17:36:10.930718  -> Fetching Data ended for 10.3.10.190
